"book_name","department","study_level","read_count"
"All the President's Men","MATHEMATICS","GRAD",1
"All the President's Men","MATHEMATICS","UNDERGRAD",2
"All the President's Men","POLITICAL_SCIENCE","GRAD",5
"All the President's Men","PSYCHOLOGY","GRAD",5
"All the President's Men","PSYCHOLOGY","UNDERGRAD",2
"All the President's Men","STATISTICS","GRAD",1
"All the President's Men","STATISTICS","UNDERGRAD",4
"Amulet of Samarkand, The","COMPUTER_SCIENCE","GRAD",3
"Amulet of Samarkand, The","COMPUTER_SCIENCE","UNDERGRAD",2
"Amulet of Samarkand, The","DANCE","GRAD",2
"Amulet of Samarkand, The","DANCE","UNDERGRAD",2
"Amulet of Samarkand, The","ECONOMICS","GRAD",3
"Amulet of Samarkand, The","ECONOMICS","UNDERGRAD",3
"Amulet of Samarkand, The","ENGLISH","GRAD",5
"Amulet of Samarkand, The","ENGLISH","UNDERGRAD",6
"Amulet of Samarkand, The","MATHEMATICS","GRAD",3
"Amulet of Samarkand, The","MATHEMATICS","UNDERGRAD",3
"Amulet of Samarkand, The","POLITICAL_SCIENCE","GRAD",4
"Amulet of Samarkand, The","POLITICAL_SCIENCE","UNDERGRAD",3
"Amulet of Samarkand, The","PSYCHOLOGY","GRAD",2
"Amulet of Samarkand, The","PSYCHOLOGY","UNDERGRAD",4
"Amulet of Samarkand, The","STATISTICS","GRAD",3
"Amulet of Samarkand, The","STATISTICS","UNDERGRAD",6
"Analysis, Vol I","COMPUTER_SCIENCE","GRAD",2
"Analysis, Vol I","COMPUTER_SCIENCE","UNDERGRAD",2
"Analysis, Vol I","DANCE","GRAD",5
"Analysis, Vol I","DANCE","UNDERGRAD",2
"Analysis, Vol I","ECONOMICS","UNDERGRAD",4
"Analysis, Vol I","ENGLISH","GRAD",5
"Analysis, Vol I","ENGLISH","UNDERGRAD",1
"Analysis, Vol I","MATHEMATICS","GRAD",3
"Analysis, Vol I","MATHEMATICS","UNDERGRAD",2
"Analysis, Vol I","POLITICAL_SCIENCE","GRAD",10
"Analysis, Vol I","POLITICAL_SCIENCE","UNDERGRAD",3
"Analysis, Vol I","PSYCHOLOGY","GRAD",5
"Analysis, Vol I","PSYCHOLOGY","UNDERGRAD",3
"Analysis, Vol I","STATISTICS","GRAD",2
"Analysis, Vol I","STATISTICS","UNDERGRAD",2
"Angels & Demons","COMPUTER_SCIENCE","GRAD",5
"Angels & Demons","COMPUTER_SCIENCE","UNDERGRAD",12
"Angels & Demons","DANCE","GRAD",6
"Angels & Demons","DANCE","UNDERGRAD",5
"Angels & Demons","ECONOMICS","GRAD",3
"Angels & Demons","ECONOMICS","UNDERGRAD",3
"Angels & Demons","ENGLISH","GRAD",6
"Angels & Demons","ENGLISH","UNDERGRAD",7
"Angels & Demons","MATHEMATICS","GRAD",12
"Angels & Demons","MATHEMATICS","UNDERGRAD",6
"Angels & Demons","POLITICAL_SCIENCE","GRAD",7
"Angels & Demons","POLITICAL_SCIENCE","UNDERGRAD",2
"Angels & Demons","PSYCHOLOGY","GRAD",8
"Angels & Demons","PSYCHOLOGY","UNDERGRAD",8
"Angels & Demons","STATISTICS","GRAD",5
"Angels & Demons","STATISTICS","UNDERGRAD",8
"Animal Farm","COMPUTER_SCIENCE","GRAD",1
"Animal Farm","COMPUTER_SCIENCE","UNDERGRAD",4
"Animal Farm","DANCE","GRAD",2
"Animal Farm","DANCE","UNDERGRAD",9
"Animal Farm","ECONOMICS","UNDERGRAD",1
"Animal Farm","ENGLISH","GRAD",3
"Animal Farm","ENGLISH","UNDERGRAD",2
"Animal Farm","MATHEMATICS","GRAD",2
"Animal Farm","MATHEMATICS","UNDERGRAD",5
"Animal Farm","POLITICAL_SCIENCE","GRAD",3
"Animal Farm","POLITICAL_SCIENCE","UNDERGRAD",3
"Animal Farm","PSYCHOLOGY","GRAD",6
"Animal Farm","PSYCHOLOGY","UNDERGRAD",2
"Animal Farm","STATISTICS","GRAD",4
"Animal Farm","STATISTICS","UNDERGRAD",3
"Apulki","COMPUTER_SCIENCE","GRAD",4
"Apulki","COMPUTER_SCIENCE","UNDERGRAD",4
"Apulki","DANCE","GRAD",3
"Apulki","DANCE","UNDERGRAD",3
"Apulki","ECONOMICS","GRAD",1
"Apulki","ECONOMICS","UNDERGRAD",4
"Apulki","ENGLISH","GRAD",3
"Apulki","ENGLISH","UNDERGRAD",3
"Apulki","MATHEMATICS","GRAD",5
"Apulki","MATHEMATICS","UNDERGRAD",5
"Apulki","POLITICAL_SCIENCE","GRAD",3
"Apulki","POLITICAL_SCIENCE","UNDERGRAD",4
"Apulki","PSYCHOLOGY","GRAD",6
"Apulki","PSYCHOLOGY","UNDERGRAD",6
"Apulki","STATISTICS","GRAD",5
"Apulki","STATISTICS","UNDERGRAD",3
"Argumentative Indian, The","COMPUTER_SCIENCE","GRAD",4
"Argumentative Indian, The","COMPUTER_SCIENCE","UNDERGRAD",5
"Argumentative Indian, The","DANCE","GRAD",4
"Argumentative Indian, The","DANCE","UNDERGRAD",3
"Argumentative Indian, The","ECONOMICS","GRAD",1
"Argumentative Indian, The","ECONOMICS","UNDERGRAD",3
"Argumentative Indian, The","ENGLISH","GRAD",5
"Argumentative Indian, The","ENGLISH","UNDERGRAD",1
"Argumentative Indian, The","MATHEMATICS","GRAD",3
"Argumentative Indian, The","MATHEMATICS","UNDERGRAD",4
"Argumentative Indian, The","POLITICAL_SCIENCE","GRAD",6
"Argumentative Indian, The","POLITICAL_SCIENCE","UNDERGRAD",4
"Argumentative Indian, The","PSYCHOLOGY","GRAD",4
"Argumentative Indian, The","PSYCHOLOGY","UNDERGRAD",1
"Argumentative Indian, The","STATISTICS","GRAD",4
"Argumentative Indian, The","STATISTICS","UNDERGRAD",3
"Arthashastra, The","COMPUTER_SCIENCE","GRAD",4
"Arthashastra, The","COMPUTER_SCIENCE","UNDERGRAD",8
"Arthashastra, The","DANCE","GRAD",3
"Arthashastra, The","DANCE","UNDERGRAD",1
"Arthashastra, The","ECONOMICS","GRAD",3
"Arthashastra, The","ECONOMICS","UNDERGRAD",3
"Arthashastra, The","ENGLISH","GRAD",4
"Arthashastra, The","ENGLISH","UNDERGRAD",1
"Arthashastra, The","MATHEMATICS","GRAD",4
"Arthashastra, The","MATHEMATICS","UNDERGRAD",6
"Arthashastra, The","POLITICAL_SCIENCE","GRAD",9
"Arthashastra, The","POLITICAL_SCIENCE","UNDERGRAD",2
"Arthashastra, The","PSYCHOLOGY","GRAD",6
"Arthashastra, The","PSYCHOLOGY","UNDERGRAD",2
"Arthashastra, The","STATISTICS","UNDERGRAD",2
"Artist and the Mathematician, The","COMPUTER_SCIENCE","GRAD",3
"Artist and the Mathematician, The","COMPUTER_SCIENCE","UNDERGRAD",3
"Artist and the Mathematician, The","DANCE","GRAD",5
"Artist and the Mathematician, The","DANCE","UNDERGRAD",2
"Artist and the Mathematician, The","ECONOMICS","GRAD",4
"Artist and the Mathematician, The","ECONOMICS","UNDERGRAD",1
"Artist and the Mathematician, The","ENGLISH","GRAD",2
"Artist and the Mathematician, The","ENGLISH","UNDERGRAD",6
"Artist and the Mathematician, The","MATHEMATICS","GRAD",3
"Artist and the Mathematician, The","MATHEMATICS","UNDERGRAD",7
"Artist and the Mathematician, The","POLITICAL_SCIENCE","GRAD",3
"Artist and the Mathematician, The","POLITICAL_SCIENCE","UNDERGRAD",4
"Artist and the Mathematician, The","PSYCHOLOGY","GRAD",6
"Artist and the Mathematician, The","PSYCHOLOGY","UNDERGRAD",3
"Artist and the Mathematician, The","STATISTICS","GRAD",3
"Artist and the Mathematician, The","STATISTICS","UNDERGRAD",8
"Asami Asami","COMPUTER_SCIENCE","GRAD",3
"Asami Asami","COMPUTER_SCIENCE","UNDERGRAD",5
"Asami Asami","DANCE","GRAD",4
"Asami Asami","DANCE","UNDERGRAD",3
"Asami Asami","ECONOMICS","GRAD",5
"Asami Asami","ECONOMICS","UNDERGRAD",3
"Asami Asami","ENGLISH","GRAD",2
"Asami Asami","ENGLISH","UNDERGRAD",6
"Asami Asami","MATHEMATICS","GRAD",3
"Asami Asami","MATHEMATICS","UNDERGRAD",2
"Asami Asami","POLITICAL_SCIENCE","GRAD",2
"Asami Asami","POLITICAL_SCIENCE","UNDERGRAD",1
"Asami Asami","PSYCHOLOGY","GRAD",2
"Asami Asami","PSYCHOLOGY","UNDERGRAD",4
"Asami Asami","STATISTICS","GRAD",7
"Asami Asami","STATISTICS","UNDERGRAD",5
"Ashenden of The British Agent","COMPUTER_SCIENCE","GRAD",4
"Ashenden of The British Agent","COMPUTER_SCIENCE","UNDERGRAD",3
"Ashenden of The British Agent","DANCE","GRAD",4
"Ashenden of The British Agent","DANCE","UNDERGRAD",3
"Ashenden of The British Agent","ECONOMICS","GRAD",1
"Ashenden of The British Agent","ECONOMICS","UNDERGRAD",3
"Ashenden of The British Agent","ENGLISH","GRAD",5
"Ashenden of The British Agent","ENGLISH","UNDERGRAD",4
"Ashenden of The British Agent","MATHEMATICS","GRAD",3
"Ashenden of The British Agent","MATHEMATICS","UNDERGRAD",5
"Ashenden of The British Agent","POLITICAL_SCIENCE","GRAD",1
"Ashenden of The British Agent","POLITICAL_SCIENCE","UNDERGRAD",4
"Ashenden of The British Agent","PSYCHOLOGY","GRAD",4
"Ashenden of The British Agent","PSYCHOLOGY","UNDERGRAD",3
"Ashenden of The British Agent","STATISTICS","GRAD",3
"Ashenden of The British Agent","STATISTICS","UNDERGRAD",4
"Attorney, The","COMPUTER_SCIENCE","GRAD",6
"Attorney, The","COMPUTER_SCIENCE","UNDERGRAD",3
"Attorney, The","DANCE","GRAD",5
"Attorney, The","DANCE","UNDERGRAD",5
"Attorney, The","ECONOMICS","GRAD",4
"Attorney, The","ENGLISH","GRAD",4
"Attorney, The","ENGLISH","UNDERGRAD",4
"Attorney, The","MATHEMATICS","GRAD",3
"Attorney, The","MATHEMATICS","UNDERGRAD",8
"Attorney, The","POLITICAL_SCIENCE","GRAD",3
"Attorney, The","POLITICAL_SCIENCE","UNDERGRAD",2
"Attorney, The","PSYCHOLOGY","GRAD",5
"Attorney, The","PSYCHOLOGY","UNDERGRAD",3
"Attorney, The","STATISTICS","GRAD",2
"Attorney, The","STATISTICS","UNDERGRAD",2
"Ayn Rand Answers","COMPUTER_SCIENCE","GRAD",6
"Ayn Rand Answers","COMPUTER_SCIENCE","UNDERGRAD",6
"Ayn Rand Answers","DANCE","GRAD",3
"Ayn Rand Answers","DANCE","UNDERGRAD",3
"Ayn Rand Answers","ECONOMICS","UNDERGRAD",4
"Ayn Rand Answers","ENGLISH","GRAD",8
"Ayn Rand Answers","ENGLISH","UNDERGRAD",5
"Ayn Rand Answers","MATHEMATICS","UNDERGRAD",2
"Ayn Rand Answers","POLITICAL_SCIENCE","GRAD",6
"Ayn Rand Answers","POLITICAL_SCIENCE","UNDERGRAD",5
"Ayn Rand Answers","PSYCHOLOGY","GRAD",2
"Ayn Rand Answers","PSYCHOLOGY","UNDERGRAD",3
"Ayn Rand Answers","STATISTICS","GRAD",4
"Batatyachi Chal","COMPUTER_SCIENCE","GRAD",2
"Batatyachi Chal","COMPUTER_SCIENCE","UNDERGRAD",8
"Batatyachi Chal","DANCE","GRAD",6
"Batatyachi Chal","DANCE","UNDERGRAD",1
"Batatyachi Chal","ECONOMICS","GRAD",2
"Batatyachi Chal","ECONOMICS","UNDERGRAD",2
"Batatyachi Chal","ENGLISH","GRAD",5
"Batatyachi Chal","ENGLISH","UNDERGRAD",5
"Batatyachi Chal","MATHEMATICS","GRAD",1
"Batatyachi Chal","MATHEMATICS","UNDERGRAD",4
"Batatyachi Chal","POLITICAL_SCIENCE","GRAD",3
"Batatyachi Chal","POLITICAL_SCIENCE","UNDERGRAD",3
"Batatyachi Chal","PSYCHOLOGY","GRAD",3
"Batatyachi Chal","PSYCHOLOGY","UNDERGRAD",4
"Batatyachi Chal","STATISTICS","GRAD",5
"Batatyachi Chal","STATISTICS","UNDERGRAD",1
"Batman Earth One","COMPUTER_SCIENCE","GRAD",5
"Batman Earth One","COMPUTER_SCIENCE","UNDERGRAD",3
"Batman Earth One","DANCE","GRAD",5
"Batman Earth One","DANCE","UNDERGRAD",3
"Batman Earth One","ECONOMICS","GRAD",2
"Batman Earth One","ECONOMICS","UNDERGRAD",4
"Batman Earth One","ENGLISH","GRAD",3
"Batman Earth One","ENGLISH","UNDERGRAD",3
"Batman Earth One","MATHEMATICS","GRAD",2
"Batman Earth One","MATHEMATICS","UNDERGRAD",6
"Batman Earth One","POLITICAL_SCIENCE","GRAD",4
"Batman Earth One","POLITICAL_SCIENCE","UNDERGRAD",3
"Batman Earth One","PSYCHOLOGY","GRAD",4
"Batman Earth One","PSYCHOLOGY","UNDERGRAD",5
"Batman Earth One","STATISTICS","GRAD",3
"Batman Earth One","STATISTICS","UNDERGRAD",2
"Batman Handbook","COMPUTER_SCIENCE","GRAD",4
"Batman Handbook","COMPUTER_SCIENCE","UNDERGRAD",5
"Batman Handbook","DANCE","GRAD",1
"Batman Handbook","DANCE","UNDERGRAD",4
"Batman Handbook","ECONOMICS","GRAD",1
"Batman Handbook","ECONOMICS","UNDERGRAD",5
"Batman Handbook","ENGLISH","GRAD",1
"Batman Handbook","ENGLISH","UNDERGRAD",4
"Batman Handbook","MATHEMATICS","GRAD",5
"Batman Handbook","MATHEMATICS","UNDERGRAD",1
"Batman Handbook","POLITICAL_SCIENCE","UNDERGRAD",2
"Batman Handbook","PSYCHOLOGY","GRAD",4
"Batman Handbook","PSYCHOLOGY","UNDERGRAD",3
"Batman Handbook","STATISTICS","GRAD",1
"Batman Handbook","STATISTICS","UNDERGRAD",1
"Batman: The Long Halloween","COMPUTER_SCIENCE","GRAD",4
"Batman: The Long Halloween","COMPUTER_SCIENCE","UNDERGRAD",4
"Batman: The Long Halloween","DANCE","GRAD",2
"Batman: The Long Halloween","DANCE","UNDERGRAD",7
"Batman: The Long Halloween","ECONOMICS","GRAD",7
"Batman: The Long Halloween","ECONOMICS","UNDERGRAD",4
"Batman: The Long Halloween","ENGLISH","GRAD",1
"Batman: The Long Halloween","ENGLISH","UNDERGRAD",4
"Batman: The Long Halloween","MATHEMATICS","GRAD",1
"Batman: The Long Halloween","MATHEMATICS","UNDERGRAD",2
"Batman: The Long Halloween","POLITICAL_SCIENCE","GRAD",3
"Batman: The Long Halloween","POLITICAL_SCIENCE","UNDERGRAD",1
"Batman: The Long Halloween","PSYCHOLOGY","GRAD",7
"Batman: The Long Halloween","PSYCHOLOGY","UNDERGRAD",3
"Batman: The Long Halloween","STATISTICS","GRAD",4
"Batman: The Long Halloween","STATISTICS","UNDERGRAD",2
"Beautiful and the Damned, The","COMPUTER_SCIENCE","GRAD",5
"Beautiful and the Damned, The","COMPUTER_SCIENCE","UNDERGRAD",7
"Beautiful and the Damned, The","DANCE","GRAD",3
"Beautiful and the Damned, The","DANCE","UNDERGRAD",6
"Beautiful and the Damned, The","ECONOMICS","UNDERGRAD",2
"Beautiful and the Damned, The","ENGLISH","GRAD",2
"Beautiful and the Damned, The","ENGLISH","UNDERGRAD",4
"Beautiful and the Damned, The","MATHEMATICS","GRAD",3
"Beautiful and the Damned, The","MATHEMATICS","UNDERGRAD",6
"Beautiful and the Damned, The","POLITICAL_SCIENCE","GRAD",2
"Beautiful and the Damned, The","POLITICAL_SCIENCE","UNDERGRAD",2
"Beautiful and the Damned, The","PSYCHOLOGY","GRAD",4
"Beautiful and the Damned, The","PSYCHOLOGY","UNDERGRAD",4
"Beautiful and the Damned, The","STATISTICS","GRAD",3
"Beautiful and the Damned, The","STATISTICS","UNDERGRAD",4
"Beyond Degrees","COMPUTER_SCIENCE","GRAD",5
"Beyond Degrees","COMPUTER_SCIENCE","UNDERGRAD",1
"Beyond Degrees","DANCE","GRAD",3
"Beyond Degrees","DANCE","UNDERGRAD",1
"Beyond Degrees","ECONOMICS","GRAD",2
"Beyond Degrees","ENGLISH","GRAD",3
"Beyond Degrees","ENGLISH","UNDERGRAD",7
"Beyond Degrees","MATHEMATICS","GRAD",2
"Beyond Degrees","MATHEMATICS","UNDERGRAD",4
"Beyond Degrees","POLITICAL_SCIENCE","GRAD",5
"Beyond Degrees","POLITICAL_SCIENCE","UNDERGRAD",3
"Beyond Degrees","PSYCHOLOGY","GRAD",3
"Beyond Degrees","STATISTICS","GRAD",1
"Beyond Degrees","STATISTICS","UNDERGRAD",5
"Beyond the Three Seas","COMPUTER_SCIENCE","GRAD",5
"Beyond the Three Seas","COMPUTER_SCIENCE","UNDERGRAD",4
"Beyond the Three Seas","DANCE","GRAD",3
"Beyond the Three Seas","DANCE","UNDERGRAD",3
"Beyond the Three Seas","ECONOMICS","GRAD",3
"Beyond the Three Seas","ECONOMICS","UNDERGRAD",3
"Beyond the Three Seas","ENGLISH","GRAD",5
"Beyond the Three Seas","ENGLISH","UNDERGRAD",2
"Beyond the Three Seas","MATHEMATICS","GRAD",1
"Beyond the Three Seas","MATHEMATICS","UNDERGRAD",4
"Beyond the Three Seas","POLITICAL_SCIENCE","GRAD",7
"Beyond the Three Seas","POLITICAL_SCIENCE","UNDERGRAD",4
"Beyond the Three Seas","PSYCHOLOGY","GRAD",3
"Beyond the Three Seas","PSYCHOLOGY","UNDERGRAD",2
"Beyond the Three Seas","STATISTICS","GRAD",2
"Beyond the Three Seas","STATISTICS","UNDERGRAD",6
"Birth of a Theorem","COMPUTER_SCIENCE","GRAD",7
"Birth of a Theorem","COMPUTER_SCIENCE","UNDERGRAD",1
"Birth of a Theorem","DANCE","GRAD",7
"Birth of a Theorem","DANCE","UNDERGRAD",2
"Birth of a Theorem","ECONOMICS","GRAD",7
"Birth of a Theorem","ECONOMICS","UNDERGRAD",1
"Birth of a Theorem","ENGLISH","GRAD",2
"Birth of a Theorem","ENGLISH","UNDERGRAD",9
"Birth of a Theorem","MATHEMATICS","UNDERGRAD",2
"Birth of a Theorem","POLITICAL_SCIENCE","GRAD",1
"Birth of a Theorem","POLITICAL_SCIENCE","UNDERGRAD",8
"Birth of a Theorem","PSYCHOLOGY","GRAD",2
"Birth of a Theorem","PSYCHOLOGY","UNDERGRAD",2
"Birth of a Theorem","STATISTICS","GRAD",3
"Birth of a Theorem","STATISTICS","UNDERGRAD",4
"Bookless in Baghdad","COMPUTER_SCIENCE","GRAD",8
"Bookless in Baghdad","COMPUTER_SCIENCE","UNDERGRAD",1
"Bookless in Baghdad","DANCE","GRAD",2
"Bookless in Baghdad","DANCE","UNDERGRAD",4
"Bookless in Baghdad","ECONOMICS","GRAD",2
"Bookless in Baghdad","ENGLISH","GRAD",3
"Bookless in Baghdad","ENGLISH","UNDERGRAD",3
"Bookless in Baghdad","MATHEMATICS","GRAD",3
"Bookless in Baghdad","MATHEMATICS","UNDERGRAD",3
"Bookless in Baghdad","POLITICAL_SCIENCE","GRAD",6
"Bookless in Baghdad","POLITICAL_SCIENCE","UNDERGRAD",4
"Bookless in Baghdad","PSYCHOLOGY","GRAD",3
"Bookless in Baghdad","PSYCHOLOGY","UNDERGRAD",1
"Bookless in Baghdad","STATISTICS","GRAD",4
"Bookless in Baghdad","STATISTICS","UNDERGRAD",1
"Brethren, The","COMPUTER_SCIENCE","GRAD",3
"Brethren, The","COMPUTER_SCIENCE","UNDERGRAD",2
"Brethren, The","DANCE","GRAD",4
"Brethren, The","DANCE","UNDERGRAD",7
"Brethren, The","ECONOMICS","GRAD",5
"Brethren, The","ECONOMICS","UNDERGRAD",4
"Brethren, The","ENGLISH","GRAD",2
"Brethren, The","ENGLISH","UNDERGRAD",2
"Brethren, The","MATHEMATICS","GRAD",4
"Brethren, The","MATHEMATICS","UNDERGRAD",3
"Brethren, The","POLITICAL_SCIENCE","GRAD",9
"Brethren, The","POLITICAL_SCIENCE","UNDERGRAD",2
"Brethren, The","PSYCHOLOGY","GRAD",1
"Brethren, The","PSYCHOLOGY","UNDERGRAD",2
"Brethren, The","STATISTICS","GRAD",2
"Brethren, The","STATISTICS","UNDERGRAD",3
"Broca's Brain","COMPUTER_SCIENCE","GRAD",4
"Broca's Brain","COMPUTER_SCIENCE","UNDERGRAD",7
"Broca's Brain","DANCE","GRAD",2
"Broca's Brain","DANCE","UNDERGRAD",5
"Broca's Brain","ECONOMICS","GRAD",1
"Broca's Brain","ECONOMICS","UNDERGRAD",2
"Broca's Brain","ENGLISH","GRAD",4
"Broca's Brain","ENGLISH","UNDERGRAD",2
"Broca's Brain","MATHEMATICS","GRAD",2
"Broca's Brain","MATHEMATICS","UNDERGRAD",5
"Broca's Brain","POLITICAL_SCIENCE","GRAD",5
"Broca's Brain","POLITICAL_SCIENCE","UNDERGRAD",1
"Broca's Brain","PSYCHOLOGY","GRAD",3
"Broca's Brain","PSYCHOLOGY","UNDERGRAD",1
"Broca's Brain","STATISTICS","GRAD",3
"Broca's Brain","STATISTICS","UNDERGRAD",2
"Burning Bright","COMPUTER_SCIENCE","GRAD",5
"Burning Bright","COMPUTER_SCIENCE","UNDERGRAD",3
"Burning Bright","DANCE","GRAD",2
"Burning Bright","DANCE","UNDERGRAD",3
"Burning Bright","ECONOMICS","GRAD",1
"Burning Bright","ECONOMICS","UNDERGRAD",1
"Burning Bright","ENGLISH","GRAD",5
"Burning Bright","ENGLISH","UNDERGRAD",2
"Burning Bright","MATHEMATICS","GRAD",2
"Burning Bright","MATHEMATICS","UNDERGRAD",4
"Burning Bright","POLITICAL_SCIENCE","GRAD",4
"Burning Bright","POLITICAL_SCIENCE","UNDERGRAD",1
"Burning Bright","PSYCHOLOGY","UNDERGRAD",4
"Burning Bright","STATISTICS","GRAD",1
"Burning Bright","STATISTICS","UNDERGRAD",3
"Case of the Lame Canary, The","COMPUTER_SCIENCE","UNDERGRAD",6
"Case of the Lame Canary, The","DANCE","GRAD",4
